property_id,postcode,property_type,built_form,construction_age,tenure,main_fuel,epc_rating,mains_gas,local_authority,latitude,longitude
P0118,NG6 8HE,House,Mid-Terrace,1900-1929,Rented (private),Mains Gas,D,Yes,Nottingham,53.002335,-1.199755
P0119,NG5 5FS,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.995683,-1.173536
P0120,NG3 3BY,House,End-Terrace,1967-1975,Rented (social),Mains Gas,D,Yes,Nottingham,52.971469,-1.127345
P0121,NG7 7JW,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.973683,-1.166525
P0122,NG5 5GL,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.997466,-1.175185
P0123,NG6 9JP,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,53.005764,-1.189692
P0124,NG8 2TT,House,End-Terrace,1967-1975,Rented (private),Mains Gas,D,Yes,Nottingham,52.949901,-1.24387
P0126,NG8 6JR,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.976518,-1.218789
P0127,NG7 5QR,House,Mid-Terrace,1930-1949,Owner-occupied,Mains Gas,E,Yes,Nottingham,52.963032,-1.180932
P0128,NG6 0DR,House,Semi-Detached,1983-1990,Rented (social),Mains Gas,C,Yes,Nottingham,52.989957,-1.189123
P0129,NG8 4HL,House,Semi-Detached,1950-1966,Rented (social),Mains Gas,D,Yes,Nottingham,52.959712,-1.233204
P0130,NG5 5NJ,House,Semi-Detached,1950-1966,Rented (social),Mains Gas,C,Yes,Nottingham,53.004098,-1.155731
P0133,NG8 4AU,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.970853,-1.232248
P0134,NG6 7FF,House,Mid-Terrace,1976-1982,Rented (social),Mains Gas,C,Yes,Nottingham,53.003078,-1.214152
P0135,NG7 7AQ,House,Mid-Terrace,1900-1929,Rented (social),Mains Gas,D,Yes,Nottingham,52.974647,-1.165553
P0136,NG7 6LJ,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.969627,-1.161183
P0140,NG8 5NJ,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.981324,-1.203301
P0141,NG8 5QU,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.974214,-1.203343
P0143,NG6 9HF,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,53.003223,-1.188875
P0145,NG11 8QE,House,Mid-Terrace,1967-1975,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.903085,-1.168652
P0146,NG6 8RT,House,End-Terrace,1900-1929,Rented (social),Mains Gas,C,Yes,Nottingham,52.992471,-1.19666
P0147,NG11 9AX,House,End-Terrace,1950-1966,Rented (private),Mains Gas,D,Yes,Nottingham,52.901335,-1.175509
P0148,NG6 9JX,House,Mid-Terrace,1900-1929,Rented (private),Mains Gas,D,Yes,Nottingham,53.003737,-1.187762
P0149,NG2 4GR,House,Semi-Detached,1991-1995,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.948334,-1.131605
P0150,NG3 7BP,House,End-Terrace,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.960523,-1.115595
P0151,NG8 6HY,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.976741,-1.222538
P0152,NG8 5SE,House,End-Terrace,1900-1929,Rented (private),Mains Gas,D,Yes,Nottingham,52.973896,-1.209648
P0154,NG7 6FF,House,End-Terrace,1976-1982,Rented (social),Mains Gas,C,Yes,Nottingham,52.969372,-1.172221
P0155,NG6 9JE,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.996887,-1.19032
P0157,NG8 6JD,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.97615,-1.2161
P0158,NG2 4GB,House,End-Terrace,1900-1929,Rented (private),Mains Gas,D,Yes,Nottingham,52.951462,-1.121719
P0159,NG3 3BB,House,Mid-Terrace,2012-2021,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.974113,-1.126294
P0160,NG3 7BS,House,Mid-Terrace,1930-1949,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.961581,-1.118864
P0161,NG3 3EZ,House,Mid-Terrace,1991-1995,Rented (private),Mains Gas,C,Yes,Nottingham,52.97339,-1.12817
P0162,NG6 8PD,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.998763,-1.202012
P0163,NG8 6FX,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.979618,-1.215859
P0164,NG8 6DJ,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.985574,-1.209763
P0166,NG2 2FT,House,Mid-Terrace,1967-1975,Rented (social),Mains Gas,C,Yes,Nottingham,52.939471,-1.149103
P0167,NG7 2EQ,House,Semi-Detached,2012 onwards,Rented (social),Mains Gas,B,Yes,Nottingham,52.949668,-1.173624
P0168,NG6 0NJ,House,End-Terrace,1983-1990,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.986919,-1.186663
P0169,NG5 5HH,House,Semi-Detached,1950-1966,Rented (social),Mains Gas,C,Yes,Nottingham,52.994388,-1.156755
P0170,NG6 9HW,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.999142,-1.184958
P0173,NG8 3AL,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,E,Yes,Nottingham,52.972458,-1.219279
P0174,NG5 5FT,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.997045,-1.17412
P0175,NG8 2QR,House,Semi-Detached,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.945791,-1.226752
P0176,NG5 3BJ,House,Semi-Detached,1900-1929,Rented (social),Mains Gas,D,Yes,Nottingham,52.987587,-1.150943
P0177,NG7 6PJ,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.968933,-1.1648
P0178,NG8 1HX,House,Detached,2012 onwards,Owner-occupied,Mains Gas,B,Yes,Nottingham,52.957752,-1.207098
P0179,NG2 4BY,House,End-Terrace,1900-1929,Rented (social),Mains Gas,D,Yes,Nottingham,52.949043,-1.126456
P0180,NG8 5ER,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.975691,-1.186576
P0181,NG8 3AU,House,End-Terrace,1950-1966,Rented (social),Mains Gas,D,Yes,Nottingham,52.972146,-1.225108
P0182,NG5 9AW,House,Mid-Terrace,1967-1975,Rented (social),Mains Gas,C,Yes,Nottingham,53.003691,-1.170611
P0184,NG5 5HB,House,End-Terrace,1950-1966,Rented (private),Mains Gas,C,Yes,Nottingham,52.991742,-1.16649
P0185,NG8 6NF,House,Semi-Detached,1967-1975,Rented (private),Mains Gas,C,Yes,Nottingham,52.973372,-1.229777
P0186,NG7 5JS,House,Mid-Terrace,before 1900,Rented (private),Mains Gas,C,Yes,Nottingham,52.966517,-1.178052
