air_temperature,radiant_temperature,relative_humidity,air_velocity,outdoor_temperature,clo_value,met_rate,comfort_label
23.6,24.002857142857145,33.0,0.0899999999999999,11.870833333333334,0.6,1.0409556313993171,too_warm
21.6,21.51571428571428,39.0,0.11,11.870833333333334,0.82,0.9385665529010238,comfortable
24.1,23.893939393939387,34.0,0.18,11.870833333333334,1.08,1.2969283276450512,too_warm
21.6,22.01857142857143,39.0,0.08,11.870833333333334,1.1,1.2627986348122866,too_warm
22.6,21.9,34.0,0.13,11.870833333333334,1.02,1.0238907849829348,comfortable
22.4,22.94848484848485,33.0,0.17,11.870833333333334,0.93,1.2969283276450512,comfortable
20.7,20.72714285714285,41.0,0.05,8.720833333333333,1.04,0.9385665529010238,comfortable
21.7,22.1,38.0,0.15,8.720833333333333,1.4199999999999997,1.1092150170648465,comfortable
21.8,21.885714285714283,38.0,0.08,8.720833333333333,0.99,0.9385665529010238,comfortable
22.6,23.15142857142857,38.0,0.36,8.720833333333333,1.1299999999999997,1.3993174061433449,comfortable
21.3,21.09621212121213,41.0,0.2,8.720833333333333,0.93,1.36518771331058,comfortable
17.2,16.32428571428572,55.0,0.1,8.720833333333333,0.81,1.36518771331058,comfortable
20.7,20.697727272727267,49.0,0.05,9.329166666666667,0.89,1.36518771331058,comfortable
21.1,21.239999999999995,47.0,0.08,9.329166666666667,0.82,1.0238907849829348,too_cold
20.7,20.53,49.0,0.08,9.329166666666667,1.1799999999999995,1.0238907849829348,comfortable
24.1,23.31857142857143,37.0,0.12,9.329166666666667,1.4199999999999997,1.1092150170648465,too_warm
21.1,20.882857142857148,46.0,0.08,9.329166666666667,0.95,0.9897610921501708,comfortable
25.0,24.741428571428564,38.0,0.1,9.329166666666667,0.6799999999999999,1.1604095563139931,comfortable
16.9,16.992857142857144,57.0,0.1,9.329166666666667,1.1,1.1092150170648465,too_cold
20.0,21.04428571428572,51.0,0.03,9.329166666666667,1.1,1.1092150170648465,comfortable
23.6,23.9568181818182,44.0,0.08,15.554166666666667,1.07,1.706484641638225,too_warm
23.7,23.42285714285714,44.0,0.0899999999999999,15.554166666666667,1.03,0.9385665529010238,comfortable
24.2,24.18428571428572,42.0,0.07,15.554166666666667,0.97,1.1092150170648465,too_warm
24.4,24.35571428571428,42.0,0.12,15.554166666666667,0.82,1.348122866894198,comfortable
23.9,23.822727272727263,43.0,0.0899999999999999,15.554166666666667,0.63,1.5529010238907852,comfortable
18.9,19.14857142857144,56.0,0.06,15.554166666666667,1.29,0.9385665529010238,comfortable
19.2,18.895714285714284,54.0,0.05,15.554166666666667,0.99,1.0580204778156996,comfortable
21.8,21.32424242424243,48.0,0.03,15.554166666666667,1.07,1.962457337883959,comfortable
22.6,22.90571428571428,45.0,0.24,15.554166666666667,1.1,1.0580204778156996,comfortable
23.4,22.946212121212124,29.0,0.16,15.320833333333333,0.95,1.2286689419795225,too_warm
